no,position,jurisdiction,speedLimit
1,高屏大橋屏東端南北雙向,屏東,70
2,屏東市民生東路與安心四橫巷口,屏東,60
3,屏東市和生路一段與工業六路口南下,屏東,60
4,屏東市屏42線4.6K機場北路段,屏東,40
5,屏東市堤防路段南北雙向,屏東,60
6,189線10.1K大溪路口南下,屏東,70
7,台27線59.73K復興南路與公成路南北雙向,屏東,50
8,台27線62.1K公館外環道南北雙向,屏東,60
9,台3線429.8K忠孝路段南北雙向,屏東,70
10,台3線428.8K海豐果菜市場附近南北雙向,屏東,70
11,台24線7.98K長治鄉中興路段東西雙向,屏東,60
12,屏東市屏17線10K處,屏東,60
13,屏21線農科路與神農西路口,屏東,50
14,屏21線神農西路路段南北雙向,屏東,50
15,長治鄉屏26線神農德華路口東西雙向,屏東,50
16,麟洛鄉中山路與民權路口南下,屏東,50
17,屏東縣萬丹鄉西環路與和平西路口,屏東,60
18,台27線65.6K丹榮路段南北雙向,屏東,70
19,萬丹鄉187甲線14.67K大學路段南北雙向,屏東,50
20,萬丹鄉188線16.65K萬順路一段東西雙向,屏東,50
21,台3線427.4K九如機場西側外環道南下,里港,60
22,台3線425.76K九如路一段玉水路口北向,里港,70
23,台3線423.66K九如林森路口南下,里港,50
24,台3線里港鄉420.5K處南北雙向,里港,50
25,里港鄉台3線418.9K鐵店路口南下,里港,50
26,里港鄉台3線415.7K南北雙向,里港,50
27,台3線414.08K土庫段南北雙向,里港,50
28,里港鄉台22線23.38K處,里港,50
29,台27線45K鹽埔彭厝路段南北雙向,里港,60
30,長治鄉台24線13.3K處,里港,60
31,台24線14.87K東西雙向,里港,60
32,高樹鄉185線0.95K處,里港,50
33,185線32.13K佳義路段南北雙向,內埔,50
34,瑪家鄉屏37線2.53K處,內埔,40
35,台一線405.4K內埔豐田段南北雙向,內埔,70
36,屏東縣內埔鄉屏光路與復興路口,內埔,70
37,內埔鄉台一線408.7公里學人路段南北雙向,內埔,南70北50
38,屏東縣187丙線17.4K科大路段南北雙向,內埔,60
39,萬巒鄉185線39.43K處,內埔,60
40,屏85線與屏83線路口南下,潮州,60
41,潮州鎮185甲線15.62K處,潮州,60
42,台一線410.97K水源路段南北雙向,潮州,70
43,潮州鎮台一線415公里南北雙向,潮州,70
44,台一線417.5K潮州段南北雙向,潮州,70
45,屏75線3.8K崁頂南二高平面道路路口南下,潮州,50
46,屏75線3.9K崁頂南二高平面道路路口北上,潮州,50
47,189線20.1K大湖橋北上,潮州,70
48,潮州鎮189線22.68K處,潮州,50
49,新埤鄉189線31.85K南北雙向,潮州,南60北50
50,新埤鄉185線50.56K處,潮州,50
51,新埤鄉185線56.9K處,潮州,60
52,台88線20.6K快速道路北上,潮州,90
53,台88線20.6K快速道路南下,潮州,90
54,崁頂鄉187線28.8K處,東港,60
55,崁頂鄉187線32K南北雙向,東港,50
56,台27線71.1K仙公廟南北雙向,東港,南60北70
57,台27線74.3K興安段南北雙向,東港,南70北60
58,屏東縣東港鎮中正路三段與新厝路,東港,60
59,台17線東港大橋端,東港,50
60,新園鄉台17線251.6K,東港,70
61,台17線253.5K與學仁路口北上,東港,70
62,台17線258.5K東港大鵬灣段南北雙向,東港,70
63,大鵬灣環灣道路3K處南北雙向,東港,40
64,大鵬灣環灣道路12K處南北雙向,東港,40
65,屏東縣佳冬鄉佳和路與佳農路口,東港,60
66,187乙線南州鄉勝利路段,東港,50
67,枋寮鄉185線62.62K處,枋寮,60
68,台一線428.9K南北雙向,枋寮,70
69,台一線431.07K戰備道南北雙向,枋寮,70
70,台一線435.6K南北雙向,枋寮,70
71,台一線444.29K南北雙向,枋寮,70
72,台一線447.89K內獅段南北雙向,枋寮,70
73,台一線460.2K楓港段南北雙向,枋寮,50
74,獅子鄉台九線草埔國小前,枋寮,40
75,獅子鄉台九線446.2公里丹路段,枋寮,40
76,台26線3.7K南北雙向,枋寮,70
77,台26線7.87K南北雙向,枋寮,50
78,獅子鄉台9線436.53K(草埔隧道南向),枋寮,60
79,獅子鄉台9線436.58K(草埔隧道北向),枋寮,60
80,獅子鄉台9線438.2K 草埔橋口,枋寮,40
81,台26線16.5K車城分駐所前南下,恆春,50
82,台26線20K省北路二段南北雙向,恆春,70
83,台26線22.9K南北雙向,恆春,南60北70
84,台26線28K核三廠前北上,恆春,70
85,台26線28.8公里處南北雙向,恆春,70
86,台26線31.11K南灣段南北雙向,恆春,60
87,屏東市民生路與瑞民路口,屏東,50
88,屏東市機場北路500號前,屏東,40
89,屏東市台3線428.15K處,屏東,70
90,新埤鄉屏112線2.58K處,潮州,50
91,南州鄉187乙線19.66K處,東港,60
92,台9線446.4K丹路外環道,枋寮,40
93,滿州鄉屏200線8.2K處,恆春,60
